country,view_count,likes_ratio,comments_ratio,norm_view_count,norm_likes_ratio,norm_comments_ratio,engagement_score
Brazil,488061.0,8.19,0.26,0.37,1.0,0.39,6.3
Canada,804324.0,4.31,0.25,0.75,0.4,0.36,4.54
France,212075.0,6.42,0.25,0.04,0.73,0.37,4.48
Germany,221892.0,4.84,0.26,0.05,0.48,0.4,3.62
India,1001370.0,4.16,0.15,0.99,0.38,0.0,3.5
Japan,522191.5,2.09,0.17,0.41,0.05,0.07,1.3
Mexico,893180.0,6.32,0.25,0.86,0.71,0.37,6.04
Russia,180990.0,5.76,0.43,0.0,0.62,1.0,6.48
South Korea,683691.0,1.74,0.2,0.6,0.0,0.19,1.96
United Kingdom,568448.0,3.76,0.24,0.47,0.31,0.3,3.38
United States,1012223.0,4.36,0.29,1.0,0.41,0.51,5.68
